,,,
20.00%,,,
,Mean,Count,Arrival
Delete ,0.2406036377,1950,
Get,0.2723199332,1000,
Put,0.2143477926,1000,
,,,
Final Mean,0.2419860302,3950,
,,,
60.00%,,,
,Mean,Count,Arrival
Delete ,22.816350535,1950,
Get,0.1595966842,1000,
Put,0.2881910355,1000,
,,,
Final Mean,11.3771319653,3950,
,,,
,,,
80.00%,,,
,Mean,Count,Arrival
Delete ,90.3833073957,1950,
Get,0.1836449993,1000,
Put,1.0663104367,1000,
,,,
Final Mean,44.9360518627,3950,
