Delete_Lag,Correlation
1,-0.0024910364698515317
2,-0.0038048928945725053
3,-0.003291706489865855
4,-0.0030684359878491315
5,-0.004380306547556081
6,-0.003769582399695018
7,-0.003016632845905336
8,-0.003258999551707128
9,-0.003443531853026429
10,-0.0027420957218599563
11,-0.0021940901496064007
12,0.20704123643172515
13,-0.003391002909435698
14,-0.004080986913673357
15,-0.004080531616044018
16,-0.003655511816677938
17,-0.002801971204704025
18,-0.0027947545654123302
19,-0.0027687367985794772
20,-0.00429196573609879
21,-0.004354843414503958
22,-0.0035621114894457614
23,-0.003345009778543853
24,0.011266972556345938
25,-0.004680480871257212
26,-0.0033846125530033245
27,-0.0023966572784025184
28,-0.0029765830864468016
29,-0.0038164376610361787
30,-0.003199024098536673
31,-0.003947585893366088
32,-0.004595021391167628
33,-0.004183450448979724
34,-0.004336654255916674
35,-0.004842199253231964
36,-0.004639846131611105
37,-0.004621692167439234
38,-0.004606775082753341
39,-0.004027241232814137
40,-0.003442413592337134
41,-0.004319199308500733
42,-0.0038125322572482656
43,-0.004019159361722673
44,-0.005019222744734475
45,-0.003642489730301172
46,-0.0032464263450357467
47,-0.004049258882507834
48,-0.003945525032930247
49,-0.003797091613341171
50,-0.004917339180549978
51,-0.005272409462215593
52,-0.003362968471689464
53,-0.0032661493386430614
54,-0.0031313064130654633
55,-0.003981697683410637
56,-0.004810252837665688
57,-0.0033380155219276016
58,-0.004291513158254159
59,-0.0034385393584463026
60,-0.004146718434918036
61,-0.003539323417166749
62,-0.0034642127462102077
63,-0.002953464443045874
64,0.010823912887432473
65,-0.0025004058659076757
66,-0.0031792824368957694
67,-0.0014098939560209614
68,-0.0037337554926735244
69,-0.003936737143654927
70,-0.003846879725722356
71,-0.003325361411659143
72,-0.0028341144015162287
73,-0.0034914826284701338
74,-0.004128508051617091
75,-0.002822223694345216
76,0.013376866480145987
77,-0.0037643544061463467
78,-0.004279977765618332
79,-0.002874509751707877
80,-0.00454111437183642
81,-0.003909441120675997
82,-0.0025260901517054186
83,-0.003537931112732496
84,-0.0037979906498037215
85,0.2634938890779416
86,-0.0044812382311747645
87,-0.003398532802908328
88,-0.003399828327271457
89,-0.0039036485502302
90,-0.00406193281960545
91,-0.0033928548133083823
92,-0.003443715806112245
93,-0.003320518666018396
94,-0.004293280713941433
95,-0.0033770428958039677
96,-0.003029609359105729
97,-0.003988452288232189
98,-0.0030315348291590893
99,-0.0037447873773603945
100,-0.004641359726170029
101,-0.003939805275492417
102,-0.0034339195768372816
103,-0.003967326435101472
104,-0.003455853025150202
105,-0.004347357643434329
106,-0.0028155935784575895
107,-0.003026091019990351
108,-0.0020310138410753755
109,-0.0035766157377229864
110,0.0020788416663628864
111,-0.0037364544995986903
112,-0.0015292932445297085
113,-0.003881590355688284
114,-0.003466905370844096
115,-0.0036479197082886165
116,-0.001444050285301438
117,-0.003211528920820962
118,-0.003992260746604858
119,-0.0044606487739734585
120,-0.0042145791334803565
121,-0.004529335604712362
122,0.003347871633388427
123,-0.0030819425642789806
124,-0.0013494984295998225
125,-0.0031092156250362066
126,-0.0032864685476609937
