C=1456008742115970,D=1456008742116546
C=1456008742286553,D=1456008742286649
C=1456008742326844,D=1456008742326953
C=1456008742475857,D=1456008742475952
C=1456008742513900,D=1456008742514070
C=1456008742805388,D=1456008742805964
C=1456008742923314,D=1456008742923849
C=1456008743120046,D=1456008743120601
C=1456008743162124,D=1456008743162648
C=1456008743203404,D=1456008743203510
C=1456008743217583,D=1456008743217684
C=1456008743262095,D=1456008743262324
C=1456008743275602,D=1456008743275817
C=1456008743342129,D=1456008743342238
C=1456008743359149,D=1456008743359801
C=1456008743392344,D=1456008743393562
C=1456008743399956,D=1456008743400092
C=1456008743465381,D=1456008743466224
C=1456008743476042,D=1456008743476866
C=1456008743497200,D=1456008743497306
C=1456008743507679,D=1456008743507804
C=1456008743512942,D=1456008743513061
C=1456008743593556,D=1456008743594106
C=1456008743610650,D=1456008743611196
C=1456008743638029,D=1456008743638382
C=1456008743659801,D=1456008743659903
C=1456008743783712,D=1456008743784515
C=1456008743794387,D=1456008743795632
C=1456008743836148,D=1456008743836808
C=1456008743906169,D=1456008743906338
C=1456008743912150,D=1456008743912300
C=1456008744157349,D=1456008744157495
C=1456008744273414,D=1456008744274076
C=1456008744290919,D=1456008744291464
C=1456008744316821,D=1456008744317328
C=1456008744321429,D=1456008744322034
C=1456008744328579,D=1456008744329118
C=1456008744340172,D=1456008744340680
C=1456008744345216,D=1456008744345716
C=1456008744358591,D=1456008744359121
C=1456008744401988,D=1456008744402652
C=1456008744428398,D=1456008744428895
C=1456008744647604,D=1456008744648033
C=1456008744671081,C=1456008744671128,D=1456008744671746
D=1456008744672799
C=1456008744732791,D=1456008744733670
C=1456008744801556,D=1456008744802093
C=1456008744815018,D=1456008744815162
C=1456008744822260,D=1456008744822891
C=1456008744837252,D=1456008744837842
C=1456008744841678,D=1456008744842218
C=1456008744869410,D=1456008744869652
C=1456008744942197,D=1456008744942735
C=1456008745043325,D=1456008745043930
C=1456008745087009,D=1456008745087699
C=1456008745115284,D=1456008745115810
C=1456008745145775,D=1456008745146367
C=1456008745159335,D=1456008745159459
C=1456008745343911,D=1456008745344950
C=1456008745345973,D=1456008745346662
C=1456008745371641,D=1456008745372240
C=1456008745620547,D=1456008745620673
C=1456008745937012,D=1456008745937693
C=1456008745948585,D=1456008745949107
C=1456008745950866,D=1456008745950994
C=1456008745957865,D=1456008745958320
C=1456008745962471,D=1456008745962562
C=1456008746052732,D=1456008746053312
C=1456008746064223,D=1456008746064851
C=1456008746069920,D=1456008746070470
C=1456008746174944,D=1456008746175102
C=1456008746215417,D=1456008746215960
C=1456008746226025,D=1456008746226131
C=1456008746263610,D=1456008746264700
C=1456008746318641,D=1456008746319105
C=1456008746327616,D=1456008746327776
C=1456008746353007,D=1456008746353133
C=1456008746394111,D=1456008746395291
C=1456008746419201,D=1456008746419655
C=1456008746608729,D=1456008746609272
C=1456008746701764,D=1456008746701884
C=1456008746712881,D=1456008746713518
C=1456008746721465,D=1456008746722009
C=1456008746724990,D=1456008746725106
C=1456008746725964,D=1456008746726719
C=1456008746775534,D=1456008746776191
C=1456008746792480,D=1456008746792614
C=1456008746813356,D=1456008746813964
C=1456008746820260,D=1456008746820880
C=1456008746841674,D=1456008746841784
C=1456008746902268,D=1456008746902396
C=1456008746903850,D=1456008746903994
C=1456008746935185,D=1456008746935319
C=1456008746954740,D=1456008746954852
C=1456008746979376,D=1456008746979922
C=1456008746988534,D=1456008746989260
C=1456008747033498,D=1456008747033598
C=1456008747078546,D=1456008747078637
C=1456008747113583,D=1456008747113669
C=1456008747121249,D=1456008747121338
C=1456008747134020,D=1456008747134143
C=1456008747185198,D=1456008747186656
C=1456008747206609,D=1456008747206720
C=1456008747207103,D=1456008747207176
C=1456008747259038,D=1456008747259548
C=1456008747262860,D=1456008747263411
C=1456008747263480,D=1456008747263570
C=1456008747268324,D=1456008747268878
C=1456008747306412,D=1456008747306913
C=1456008747338835,D=1456008747338949
C=1456008747352700,D=1456008747353005
C=1456008747405090,D=1456008747405610
C=1456008747463860,D=1456008747463978
C=1456008747499995,D=1456008747500696
C=1456008747516005,D=1456008747516598
C=1456008747529302,D=1456008747529789
C=1456008747563281,D=1456008747563567
C=1456008747568172,D=1456008747568847
C=1456008747607617,D=1456008747609399
C=1456008747615890,D=1456008747616409
C=1456008747663005,D=1456008747663390
C=1456008747667910,D=1456008747668009
C=1456008747684235,D=1456008747684354
C=1456008747689164,D=1456008747689724
C=1456008747710567,D=1456008747710700
C=1456008747717300,D=1456008747717746
C=1456008747731462,D=1456008747731583
C=1456008747761068,D=1456008747761739
C=1456008747761852,D=1456008747761956
C=1456008747765399,D=1456008747765517
C=1456008747786615,D=1456008747786925
C=1456008747801319,D=1456008747801889
C=1456008747809873,D=1456008747810005
C=1456008747850297,D=1456008747850407
C=1456008747853680,D=1456008747854117
C=1456008747873229,C=1456008747873254,D=1456008747873799
D=1456008747873823
