Arrival Rate,Service Time,Throughput per hour
0.2,1.1877951622009277,3030
0.4,1.299736499786377,2769
0.8,3.7844531202316283,951
1.6,12.561341857910156,286
3.2,20.012290019989013,179
6.4,23.926247038841247,150
